City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,yiyang,28.5892,112.3283,9.58,28,0,0.86,CN,2022-12-30
129,impfondo,1.6381,18.0667,20.56,53,100,1.06,CG,2022-12-30
130,hermanus,-34.4187,19.2345,13.78,59,91,7.79,ZA,2022-12-30
131,fontem,5.4685,9.8818,17.83,47,97,1.51,CM,2022-12-30
132,lebu,-37.6167,-73.65,14.07,91,0,9.28,CL,2022-12-30
133,butaritari,3.0707,172.7902,27.38,75,76,6.02,KI,2022-12-30
134,bredasdorp,-34.5322,20.0403,15.21,56,99,4.82,ZA,2022-12-30
135,nuuk,64.1835,-51.7216,-12.6,88,65,3.19,GL,2022-12-30
136,maryborough,-25.5333,152.7,26.73,81,82,5.07,AU,2022-12-30
137,somers point,39.3176,-74.5946,4.99,78,0,0.0,US,2022-12-30
138,talnakh,69.4865,88.3972,-29.16,95,38,2.74,RU,2022-12-30
139,sarretudvari,47.2333,21.2,2.12,94,69,3.05,HU,2022-12-30
140,thompson,55.7435,-97.8558,-14.91,85,100,3.09,CA,2022-12-30
141,doka,13.5167,35.7667,20.05,56,82,2.97,SD,2022-12-30
142,san carlos de bariloche,-41.1456,-71.3082,13.47,61,99,3.5,AR,2022-12-30
143,georgetown,5.4112,100.3354,30.96,65,20,4.63,MY,2022-12-30
144,yellowknife,62.456,-114.3525,-14.69,85,100,4.12,CA,2022-12-30
145,bara,10.3744,10.7288,13.16,34,3,3.18,NG,2022-12-30
146,vila,42.0304,-8.1588,9.49,96,100,4.9,PT,2022-12-30
147,yurimaguas,-5.9,-76.0833,25.18,73,79,0.35,PE,2022-12-30
148,souillac,-20.5167,57.5167,26.21,73,40,1.03,MU,2022-12-30
149,port hedland,-20.3167,118.5667,39.03,37,40,8.23,AU,2022-12-30
150,pevek,69.7008,170.3133,-34.23,100,100,1.81,RU,2022-12-30
151,halifax,44.6453,-63.5724,4.01,84,71,5.66,CA,2022-12-30
152,xining,36.6167,101.7667,-4.8,25,5,0.63,CN,2022-12-30
153,nhlangano,-27.1167,31.2,14.78,91,100,1.81,SZ,2022-12-30
154,nkhotakota,-12.9274,34.2961,22.4,84,99,0.88,MW,2022-12-30
155,carnarvon,-24.8667,113.6333,31.55,38,0,6.88,AU,2022-12-30
156,salalah,17.0151,54.0924,22.05,40,0,5.14,OM,2022-12-30
157,selaphum,16.0299,103.9383,23.95,57,87,7.5,TH,2022-12-30
158,bafq,31.6128,55.4107,5.28,49,0,0.87,IR,2022-12-30
159,hithadhoo,-0.6,73.0833,26.59,75,54,2.11,MV,2022-12-30
160,shakiso,5.75,38.9167,11.22,77,50,1.5,ET,2022-12-30
161,aksu,41.1231,80.2644,-4.33,47,100,0.11,CN,2022-12-30
162,hofn,64.2539,-15.2082,-8.06,69,16,8.88,IS,2022-12-30
163,lasa,46.6166,10.7002,3.49,95,100,1.28,IT,2022-12-30
164,guerrero negro,27.9769,-114.0611,15.21,85,27,4.09,MX,2022-12-30
165,rio grande,-32.035,-52.0986,17.73,66,0,3.0,BR,2022-12-30
166,adrar,20.5022,-10.0711,20.67,20,100,7.12,MR,2022-12-30
167,kloulklubed,7.0419,134.2556,29.28,76,99,5.41,PW,2022-12-30
168,nouadhibou,20.931,-17.0347,19.52,84,73,1.96,MR,2022-12-30
169,diebougou,10.9667,-3.25,21.4,22,91,3.45,BF,2022-12-30
170,ribeira grande,38.5167,-28.7,17.1,94,100,11.18,PT,2022-12-30
171,coffs harbour,-30.3,153.1333,22.98,73,100,4.63,AU,2022-12-30
172,pilar,-9.5972,-35.9567,23.96,92,72,0.74,BR,2022-12-30
173,kununurra,-15.7667,128.7333,26.99,83,40,3.09,AU,2022-12-30
174,san rafael,-34.6177,-68.3301,25.03,24,13,3.7,AR,2022-12-30
175,mount isa,-20.7333,139.5,33.87,38,100,5.66,AU,2022-12-30
176,varadero,23.1536,-81.2514,22.42,83,63,6.62,CU,2022-12-30
177,luderitz,-26.6481,15.1594,18.75,58,0,6.71,NA,2022-12-30
178,korla,41.7597,86.1469,-5.99,53,1,0.85,CN,2022-12-30
179,gasa,31.5,34.4667,9.93,60,0,2.39,PS,2022-12-30
180,aitape,-3.1374,142.3475,27.14,80,100,3.24,PG,2022-12-30
181,cabo san lucas,22.8909,-109.9124,20.84,75,48,1.79,MX,2022-12-30
182,tuktoyaktuk,69.4541,-133.0374,-19.0,78,100,3.09,CA,2022-12-30
183,pawayan,28.0667,80.1,14.98,49,45,2.99,IN,2022-12-30
184,provideniya,64.3833,-173.3,-15.94,72,40,4.0,RU,2022-12-30
185,serabu,7.7958,-12.0536,22.51,94,12,1.13,SL,2022-12-30
186,tiksi,71.6872,128.8694,-22.86,94,100,4.28,RU,2022-12-30
187,makakilo city,21.3469,-158.0858,24.18,70,100,2.06,US,2022-12-30
188,villazon,-22.0866,-65.5942,9.96,69,98,5.09,BO,2022-12-30
189,vao,-22.6667,167.4833,25.5,87,97,10.61,NC,2022-12-30
190,am timan,11.0297,20.2827,17.67,28,45,2.66,TD,2022-12-30
191,markova,48.6758,24.4138,2.79,89,35,3.28,UA,2022-12-30
192,lyubar,49.9204,27.7592,1.91,81,99,3.55,UA,2022-12-30
193,lons-le-saunier,46.75,5.75,6.8,92,99,1.68,FR,2022-12-30
194,lewistown,40.5992,-77.5714,6.21,93,100,0.0,US,2022-12-30
195,alta floresta,-9.8756,-56.0861,21.51,99,100,0.99,BR,2022-12-30
196,nabire,-3.3667,135.4833,29.27,65,30,2.53,ID,2022-12-30
197,malindi,-3.2175,40.1191,25.03,82,92,2.46,KE,2022-12-30
198,bambous virieux,-20.3428,57.7575,27.9,73,40,1.03,MU,2022-12-30
199,nosy varika,-20.5833,48.5333,24.82,73,30,0.68,MG,2022-12-30
200,olinda,-8.0089,-34.8553,26.85,74,40,3.09,BR,2022-12-30
201,paamiut,61.994,-49.6678,-11.51,78,5,5.53,GL,2022-12-30
202,beringovskiy,63.05,179.3167,-24.51,87,100,6.62,RU,2022-12-30
203,wangkui,46.8333,126.5,-13.36,78,15,4.12,CN,2022-12-30
204,livingstone,-17.8419,25.8543,20.19,66,67,2.12,ZM,2022-12-30
205,san patricio,28.017,-97.5169,21.02,91,100,2.42,US,2022-12-30
206,gigmoto,13.7796,124.39,28.98,74,89,1.92,PH,2022-12-30
207,kavieng,-2.5744,150.7967,26.79,81,100,5.75,PG,2022-12-30
208,leningradskiy,69.3833,178.4167,-27.54,91,100,5.26,RU,2022-12-30
209,usinsk,65.9939,57.5281,-27.48,100,79,1.96,RU,2022-12-30
210,fukue,32.6881,128.8419,8.2,49,75,5.66,JP,2022-12-30
211,portales,34.1862,-103.3344,3.39,37,100,3.15,US,2022-12-30
212,cidreira,-30.1811,-50.2056,19.02,69,0,3.67,BR,2022-12-30
213,sinnamary,5.3833,-52.95,24.42,88,90,3.3,GF,2022-12-30
214,constitucion,-35.3333,-72.4167,14.03,82,0,2.79,CL,2022-12-30
215,mossendjo,-2.9506,12.7261,20.45,99,72,0.48,CG,2022-12-30
216,ancud,-41.8697,-73.8203,10.51,91,45,1.22,CL,2022-12-30
217,paita,-5.0892,-81.1144,20.7,83,13,3.52,PE,2022-12-30
218,upernavik,72.7868,-56.1549,-22.75,89,100,2.35,GL,2022-12-30
219,shimoda,34.6667,138.95,10.2,72,68,2.64,JP,2022-12-30
220,esperance,-33.8667,121.9,26.73,46,0,6.14,AU,2022-12-30
221,hasaki,35.7333,140.8333,11.79,38,100,0.96,JP,2022-12-30
222,copalillo,18.0333,-99.1167,18.28,50,97,1.07,MX,2022-12-30
223,tuxtla gutierrez,16.75,-93.1167,20.45,84,36,0.83,MX,2022-12-30
224,kismayo,-0.3582,42.5454,25.79,77,1,7.31,SO,2022-12-30
225,nossa senhora das dores,-10.4917,-37.1933,20.97,94,8,1.81,BR,2022-12-30
226,ucluelet,48.9329,-125.5528,7.83,93,100,0.45,CA,2022-12-30
227,olafsvik,64.8945,-23.7142,-5.03,50,83,5.29,IS,2022-12-30
228,dingle,10.9995,122.6711,28.91,76,100,4.09,PH,2022-12-30
229,nikolskoye,59.7035,30.7861,-2.06,96,100,4.07,RU,2022-12-30
230,mozarlandia,-14.7447,-50.5706,21.63,97,95,1.96,BR,2022-12-30
231,bandarbeyla,9.4942,50.8122,25.26,74,7,8.49,SO,2022-12-30
232,berlevag,70.8578,29.0864,-4.0,79,100,13.38,NO,2022-12-30
233,san cristobal,7.7669,-72.225,21.1,95,20,0.5,VE,2022-12-30
234,kidal,18.4411,1.4078,18.1,17,100,5.79,ML,2022-12-30
235,cabadiangan,9.7531,122.4739,30.07,67,94,2.04,PH,2022-12-30
236,kalmunai,7.4167,81.8167,26.93,63,97,4.63,LK,2022-12-30
237,severo-kurilsk,50.6789,156.125,-3.95,80,100,9.33,RU,2022-12-30
238,namibe,-15.1961,12.1522,22.46,81,100,3.28,AO,2022-12-30
239,deputatskiy,69.3,139.9,-38.78,98,71,2.23,RU,2022-12-30
240,dunajska streda,47.9927,17.6121,5.01,94,100,2.29,SK,2022-12-30
241,jacareacanga,-6.2222,-57.7528,22.39,99,100,0.86,BR,2022-12-30
242,koungou,-12.7336,45.2042,25.84,89,40,4.12,YT,2022-12-30
243,vieux-habitants,16.0589,-61.7659,21.76,71,22,5.1,GP,2022-12-30
244,datong,40.0936,113.2914,-7.28,28,0,1.79,CN,2022-12-30
245,ankang,32.68,109.0172,7.87,50,71,0.15,CN,2022-12-30
246,komsomolskiy,40.4272,71.7189,2.4,75,75,0.0,UZ,2022-12-30
247,vila franca do campo,37.7167,-25.4333,17.23,87,100,10.67,PT,2022-12-30
248,kruisfontein,-34.0033,24.7314,13.82,60,92,1.33,ZA,2022-12-30
249,ambilobe,-13.2,49.05,24.45,82,67,1.45,MG,2022-12-30
250,bamako,12.65,-8.0,19.16,26,77,2.87,ML,2022-12-30
251,ler,8.3018,30.1418,21.19,38,11,2.17,SS,2022-12-30
252,nanortalik,60.1432,-45.2371,-8.24,79,6,3.45,GL,2022-12-30
253,oum hadjer,13.2954,19.6966,15.52,26,0,4.32,TD,2022-12-30
254,missoula,47.0166,-113.8009,-6.78,91,99,0.23,US,2022-12-30
255,ilhabela,-23.7781,-45.3581,21.88,93,86,1.79,BR,2022-12-30
256,kutum,14.2,24.6667,8.93,36,2,3.2,SD,2022-12-30
257,saldanha,-33.0117,17.9442,14.81,65,36,5.22,ZA,2022-12-30
258,hobart,-42.8794,147.3294,22.93,58,75,7.2,AU,2022-12-30
259,mbaiki,3.8678,17.9892,18.95,42,74,1.5,CF,2022-12-30
260,cam ranh,11.9214,109.1591,27.98,61,75,9.26,VN,2022-12-30
261,den helder,52.9599,4.7593,7.21,91,40,11.18,NL,2022-12-30
262,bogorodskoye,56.55,37.8833,-5.28,94,100,3.5,RU,2022-12-30
263,minas,-34.3759,-55.2377,13.27,56,12,3.7,UY,2022-12-30
264,yar-sale,66.8333,70.8333,-31.45,100,92,1.61,RU,2022-12-30
265,omsukchan,62.5333,155.8,-35.1,99,99,1.88,RU,2022-12-30
266,sitka,57.0531,-135.33,6.94,53,100,7.2,US,2022-12-30
267,ialibu,-6.2821,143.9935,18.19,67,100,2.44,PG,2022-12-30
268,gizo,-8.103,156.8419,29.68,60,100,4.77,SB,2022-12-30
269,hami,42.8,93.45,-6.33,43,50,0.61,CN,2022-12-30
270,olhao,37.0286,-7.8411,16.72,100,0,3.09,PT,2022-12-30
271,husavik,66.0449,-17.3389,-6.3,63,100,7.24,IS,2022-12-30
272,north bend,43.4065,-124.2243,12.82,100,100,5.14,US,2022-12-30
273,sembe,1.6481,14.5806,19.37,52,91,0.23,CG,2022-12-30
274,birjand,32.8663,59.2211,-5.74,79,0,3.09,IR,2022-12-30
275,shaowu,27.3409,117.4831,8.12,83,100,1.14,CN,2022-12-30
276,vostok,46.4856,135.8833,-15.12,81,76,2.08,RU,2022-12-30
277,juneau,58.3019,-134.4197,1.23,97,100,2.57,US,2022-12-30
278,puerto el triunfo,13.2833,-88.55,24.12,76,0,1.38,SV,2022-12-30
279,filingue,14.3521,3.3168,16.95,29,33,4.4,NE,2022-12-30
280,corinto,37.9407,22.9573,11.32,86,33,1.42,GR,2022-12-30
281,itapicuru,-11.3167,-38.2333,21.16,92,5,2.25,BR,2022-12-30
282,nenjiang,49.1833,125.2167,-14.47,85,89,3.94,CN,2022-12-30
283,fairbanks,64.8378,-147.7164,-19.81,79,75,0.0,US,2022-12-30
284,flint,43.0125,-83.6875,11.43,84,100,4.63,US,2022-12-30
285,bongaigaon,26.4782,90.5568,18.68,48,19,2.89,IN,2022-12-30
286,morondava,-20.2833,44.2833,25.4,85,93,2.42,MG,2022-12-30
287,beloha,-25.1667,45.05,26.3,66,0,0.02,MG,2022-12-30
288,avarua,-21.2078,-159.775,28.03,83,75,2.57,CK,2022-12-30
289,abu dhabi,24.4667,54.3667,21.01,57,0,2.57,AE,2022-12-30
290,adelaide,-34.9333,138.6,28.98,41,0,8.23,AU,2022-12-30
291,selcuk,37.9514,27.3685,12.23,83,1,1.37,TR,2022-12-30
292,seymchan,62.8833,152.4333,-38.12,100,99,0.33,RU,2022-12-30
293,yulara,-25.2406,130.9889,34.71,29,61,6.54,AU,2022-12-30
294,lara,-38.0167,144.4,30.57,45,5,4.63,AU,2022-12-30
295,west wendover,40.7391,-114.0733,-0.44,64,100,2.06,US,2022-12-30
296,krasnoselkup,65.7,82.4667,-27.13,100,86,3.15,RU,2022-12-30
297,santa vitoria do palmar,-33.5189,-53.3681,14.79,77,0,2.09,BR,2022-12-30
298,peniche,39.3558,-9.3811,17.28,89,100,9.43,PT,2022-12-30
